name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year
Like Water,WENDY,70,0.365,0.626,7.0,-4.247,1.0,0.0374,0.648,6.06e-06,0.115,0.249,83.823,261013.0,2021
My Day,TAEMIN,56,0.607,0.33,6.0,-8.923,1.0,0.0264,0.6779999999999999,1.76e-06,0.126,0.47200000000000003,80.016,186643.0,2021
HUSH,Kim Sung Kyu,48,0.609,0.706,3.0,-6.664,1.0,0.0646,0.154,1.28e-05,0.0832,0.16899999999999998,97.975,222173.0,2021
IYAH,Kang Seung Yoon,60,0.61,0.601,6.0,-5.7410000000000005,0.0,0.0287,0.0773,0.0,0.10099999999999999,0.379,93.027,225862.0,2021
Don't Smile At Me,SOYOU,44,0.39299999999999996,0.41200000000000003,7.0,-4.986000000000001,1.0,0.0319,0.555,0.0,0.0831,0.318,132.876,210760.0,2021
I Cry,Han Dong Geun,24,0.626,0.513,1.0,-6.406000000000001,1.0,0.0384,0.599,0.0,0.10800000000000001,0.223,134.05100000000002,229787.0,2021
"Spring, Again",THE ADE,12,0.555,0.261,3.0,-7.933,1.0,0.0828,0.915,0.0,0.11599999999999999,0.33899999999999997,179.81099999999998,242755.0,2021
Without You,CHANYEOL,51,0.524,0.303,11.0,-7.689,1.0,0.033,0.584,3.98e-06,0.0709,0.41100000000000003,124.027,174907.0,2021
Hi spring Bye,IU,60,0.501,0.51,1.0,-5.996,1.0,0.0268,0.7709999999999999,3.15e-06,0.0756,0.18899999999999997,91.90799999999999,324280.0,2021
After a tumultuous night,JANNABI,34,0.349,0.589,7.0,-5.742999999999999,1.0,0.0317,0.529,0.000245,0.102,0.517,203.64700000000002,199000.0,2021
Can't fall in love again,DinDin,38,0.40700000000000003,0.33,0.0,-9.175,1.0,0.0312,0.847,0.0,0.0981,0.317,50.129,236987.0,2021
Farewell,zai.ro,17,0.312,0.392,7.0,-7.311,0.0,0.0322,0.6920000000000001,0.000155,0.187,0.18600000000000003,178.929,224307.0,2021
Ghosting,Mew,20,0.5379999999999999,0.76,6.0,-2.6430000000000002,1.0,0.0393,0.5720000000000001,0.0,0.11800000000000001,0.531,74.829,220853.0,2021
Line,The Stray,19,0.354,0.455,11.0,-5.709,0.0,0.0298,0.809,0.0,0.132,0.158,129.18200000000002,241667.0,2021
Moon rising song,Melotic,13,0.41200000000000003,0.486,5.0,-4.152,1.0,0.0301,0.648,0.0,0.14400000000000002,0.284,135.713,238676.0,2021
Always on your side,Kim Bum Soo,32,0.488,0.311,5.0,-8.406,1.0,0.0321,0.679,0.0,0.111,0.266,127.714,227600.0,2021
Doll,BAEKHYUN,27,0.39799999999999996,0.32899999999999996,4.0,-6.457000000000001,1.0,0.0379,0.894,0.0,0.12,0.295,103.977,271326.0,2021
