danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.331,0.416,9,-4.6,1,0.0345,0.811,0.0,0.0884,0.297,144.539,audio_features,48PSr7UWiYT0AOATprf1xu,spotify:track:48PSr7UWiYT0AOATprf1xu,https://api.spotify.com/v1/tracks/48PSr7UWiYT0AOATprf1xu,https://api.spotify.com/v1/audio-analysis/48PSr7UWiYT0AOATprf1xu,263803,4
0.621,0.673,1,-3.194,0,0.0606,0.467,0.0,0.323,0.289,143.889,audio_features,73szhI6oOawKlv6AxgHIS8,spotify:track:73szhI6oOawKlv6AxgHIS8,https://api.spotify.com/v1/tracks/73szhI6oOawKlv6AxgHIS8,https://api.spotify.com/v1/audio-analysis/73szhI6oOawKlv6AxgHIS8,279719,4
0.653,0.488,1,-4.042,1,0.0328,0.329,0.0,0.163,0.492,151.594,audio_features,2jfnHH0QZoV7AYG9AdKbxU,spotify:track:2jfnHH0QZoV7AYG9AdKbxU,https://api.spotify.com/v1/tracks/2jfnHH0QZoV7AYG9AdKbxU,https://api.spotify.com/v1/audio-analysis/2jfnHH0QZoV7AYG9AdKbxU,231445,4
0.555,0.55,10,-5.149,1,0.0368,0.768,0.00138,0.123,0.351,78.044,audio_features,5sVeJMHMfCWf2H6g66KQXz,spotify:track:5sVeJMHMfCWf2H6g66KQXz,https://api.spotify.com/v1/tracks/5sVeJMHMfCWf2H6g66KQXz,https://api.spotify.com/v1/audio-analysis/5sVeJMHMfCWf2H6g66KQXz,234093,4
0.475,0.384,0,-9.532,0,0.029,0.607,0.0,0.186,0.235,135.638,audio_features,2vZZljISFmbnd2SlMBdEAH,spotify:track:2vZZljISFmbnd2SlMBdEAH,https://api.spotify.com/v1/tracks/2vZZljISFmbnd2SlMBdEAH,https://api.spotify.com/v1/audio-analysis/2vZZljISFmbnd2SlMBdEAH,209907,4
0.448,0.776,6,-4.498,1,0.0571,0.0149,0.0,0.12,0.294,149.806,audio_features,6kX452oUUNojKWNNuc1nqx,spotify:track:6kX452oUUNojKWNNuc1nqx,https://api.spotify.com/v1/tracks/6kX452oUUNojKWNNuc1nqx,https://api.spotify.com/v1/audio-analysis/6kX452oUUNojKWNNuc1nqx,238862,4
0.57,0.422,1,-7.561,0,0.0422,0.372,0.0,0.127,0.169,113.007,audio_features,4d5nIJDm92XcbBHVXxjpWI,spotify:track:4d5nIJDm92XcbBHVXxjpWI,https://api.spotify.com/v1/tracks/4d5nIJDm92XcbBHVXxjpWI,https://api.spotify.com/v1/audio-analysis/4d5nIJDm92XcbBHVXxjpWI,242293,4
0.649,0.601,4,-5.452,1,0.0347,0.721,0.0,0.108,0.522,140.031,audio_features,2CCyeyaPmGRpVxmRwu3HZo,spotify:track:2CCyeyaPmGRpVxmRwu3HZo,https://api.spotify.com/v1/tracks/2CCyeyaPmGRpVxmRwu3HZo,https://api.spotify.com/v1/audio-analysis/2CCyeyaPmGRpVxmRwu3HZo,221793,4
0.573,0.419,5,-5.256,1,0.0333,0.745,0.0,0.1,0.258,129.584,audio_features,488mXgKGA5CM3kn6pAngDZ,spotify:track:488mXgKGA5CM3kn6pAngDZ,https://api.spotify.com/v1/tracks/488mXgKGA5CM3kn6pAngDZ,https://api.spotify.com/v1/audio-analysis/488mXgKGA5CM3kn6pAngDZ,212802,4
0.728,0.669,0,-4.73,1,0.0346,0.122,0.0,0.129,0.707,133.961,audio_features,3M0qHiwpoXUMffAS1CBB6M,spotify:track:3M0qHiwpoXUMffAS1CBB6M,https://api.spotify.com/v1/tracks/3M0qHiwpoXUMffAS1CBB6M,https://api.spotify.com/v1/audio-analysis/3M0qHiwpoXUMffAS1CBB6M,242747,4
0.585,0.84,0,-3.349,0,0.0957,0.155,0.0,0.638,0.149,149.855,audio_features,34Ga20vIH4vN9neqWG8Tok,spotify:track:34Ga20vIH4vN9neqWG8Tok,https://api.spotify.com/v1/tracks/34Ga20vIH4vN9neqWG8Tok,https://api.spotify.com/v1/audio-analysis/34Ga20vIH4vN9neqWG8Tok,229627,4
0.449,0.46,2,-7.081,1,0.0404,0.881,1.44e-05,0.112,0.137,99.468,audio_features,3R8iyJpmhI9ABDmTpetV2D,spotify:track:3R8iyJpmhI9ABDmTpetV2D,https://api.spotify.com/v1/tracks/3R8iyJpmhI9ABDmTpetV2D,https://api.spotify.com/v1/audio-analysis/3R8iyJpmhI9ABDmTpetV2D,212842,4
0.75,0.473,1,-6.906,1,0.0427,0.669,0.0,0.103,0.337,108.016,audio_features,1HVjqP22I8rGY1gyEqrEuy,spotify:track:1HVjqP22I8rGY1gyEqrEuy,https://api.spotify.com/v1/tracks/1HVjqP22I8rGY1gyEqrEuy,https://api.spotify.com/v1/audio-analysis/1HVjqP22I8rGY1gyEqrEuy,234027,4
