name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year
Mười Giờ Bốn Lăm,Seachains,9,0.9279999999999999,0.444,8,-14.432,1,0.23,0.318,2.46e-05,0.0859,0.716,93.99,140774,2019
Nguyên Team Đi Vào Hết,Binz,38,0.927,0.8690000000000001,11,-5.994,0,0.0687,0.0537,0.0,0.121,0.6729999999999999,130.005,185760,2018
Túy Họa,K-ICM,32,0.743,0.7390000000000001,5,-5.718,0,0.0275,0.41100000000000003,0.00715,0.0538,0.866,99.977,256800,2020
Bông Hoa Chẳng Thuộc Về Ta - Wind Remix,Việt,13,0.728,0.608,4,-6.71,1,0.0571,0.408,0.00156,0.08,0.5870000000000001,129.996,195851,2020
Mê Ly,BigDaddy,36,0.768,0.857,5,-5.624,0,0.0391,0.155,0.0043100000000000005,0.0828,0.6920000000000001,110.02600000000001,196364,2020
Về Đội Của Anh,BigDaddy,27,0.873,0.843,1,-2.5639999999999996,0,0.11900000000000001,0.207,0.0061200000000000004,0.0611,0.596,123.072,240048,2015
Tối Thứ 7,Groovie Lã Thắng,30,0.774,0.546,2,-7.978,1,0.0665,0.615,0.0,0.45399999999999996,0.526,92.99700000000001,230000,2020
Mượn Rượu Tỏ Tình,Emily,0,0.428,0.741,5,-5.397,1,0.175,0.44,0.0,0.102,0.445,80.73899999999999,254630,2020
Gọi Tên Em Đi,PAR SG,26,0.6609999999999999,0.344,3,-14.113,0,0.078,0.863,4.5799999999999995e-05,0.0958,0.35600000000000004,61.0,94535,2019
Nhìn Anh Đi,PAR SG,34,0.71,0.536,8,-9.307,1,0.0327,0.715,0.10800000000000001,0.102,0.568,109.98,231257,2020
Ngây Thơ (Phong Max Remix),Tăng Duy Tân,47,0.787,0.473,6,-8.107999999999999,0,0.0304,0.39,0.503,0.215,0.746,110.98899999999999,268311,2020
Instagram,PAR SG,38,0.782,0.603,0,-9.574,0,0.132,0.835,0.0,0.109,0.43200000000000005,90.98700000000001,218289,2020
Falling Again,PAR SG,24,0.8240000000000001,0.281,0,-17.445999999999998,0,0.0742,0.941,0.19899999999999998,0.158,0.218,119.95200000000001,150054,2019
I Don't Trust Nobody,PAR SG,21,0.556,0.638,0,-10.357999999999999,1,0.7120000000000001,0.775,9.83e-06,0.39799999999999996,0.614,209.903,89051,2019
Her,PAR SG,20,0.494,0.23800000000000002,0,-15.977,1,0.0815,0.884,0.017,0.14800000000000002,0.133,135.899,84681,2019
Raindrop,Sol7,0,0.895,0.5539999999999999,11,-12.272,0,0.0674,0.662,0.0141,0.205,0.77,126.037,315036,2018
Anh Là Người Xấu,BlackBi,31,0.8059999999999999,0.71,5,-8.892999999999999,0,0.0825,0.469,0.0,0.12300000000000001,0.779,114.965,205824,2020
She Said,Wean,46,0.845,0.601,1,-7.3,1,0.061,0.0707,0.0,0.0966,0.5660000000000001,121.994,209184,2019
Cigarette,PAR SG,37,0.513,0.244,3,-18.151,0,0.29100000000000004,0.9620000000000001,0.0018100000000000002,0.12,0.37200000000000005,82.51100000000001,162912,2019
Không Ai Như Anh Đâu,Kayc,30,0.723,0.86,8,-6.303999999999999,0,0.0416,0.109,9.54e-05,0.0896,0.8440000000000001,102.999,163107,2020
Alone,Wean,1,0.78,0.73,0,-6.343,1,0.125,0.0152,0.0,0.105,0.621,130.925,242362,2020
Anh Nghĩ Em Tiếc Anh Sao,Saa,30,0.9790000000000001,0.485,4,-4.167,0,0.0782,0.369,0.0,0.0826,0.86,117.964,235932,2020
TA,T.I.P-B,10,0.561,0.569,10,-6.312,0,0.0587,0.759,0.000117,0.10800000000000001,0.215,179.99099999999999,184059,2019
SO FAR,Binz,50,0.5720000000000001,0.484,5,-10.402000000000001,1,0.0488,0.591,0.00328,0.127,0.27,91.064,204603,2018
Người Ấy Là Ai (feat. 16 Typh),RAP VIỆT,41,0.86,0.713,3,-4.3,1,0.154,0.107,0.0,0.287,0.595,125.14,203520,2020
Malibu,16 Typh,32,0.7929999999999999,0.28,1,-17.039,1,0.0818,0.767,6.89e-06,0.10400000000000001,0.0506,99.995,174472,2018
Pray,16 Typh,38,0.932,0.878,11,-6.274,1,0.141,0.0495,0.0,0.0887,0.925,135.00799999999998,172444,2020
If You Said So,Coldzy,37,0.414,0.589,8,-9.479,1,0.0971,0.172,0.0,0.105,0.0739,88.632,156303,2020
Loop,Coldzy,34,0.715,0.408,9,-9.495,1,0.0345,0.536,0.0,0.0975,0.23,90.509,249204,2020
Left Alone,ChiuLinh,9,0.591,0.534,5,-12.597000000000001,1,0.467,0.7759999999999999,3.98e-05,0.685,0.45299999999999996,140.17600000000002,148000,2019
Một Mình Có Buồn Không,Thiều Bảo Trâm,0,0.703,0.517,1,-9.26,0,0.0457,0.47700000000000004,8.63e-06,0.318,0.375,105.01100000000001,266286,2020
Hành Tinh Ánh Sáng,Vu Cat Tuong,46,0.754,0.41100000000000003,1,-9.417,1,0.0447,0.705,2.2800000000000002e-05,0.0787,0.495,132.001,228000,2020
Kén Cá Chọn Anh,Bich Phuong,34,0.795,0.574,4,-7.832999999999999,0,0.0857,0.415,3.9e-05,0.379,0.597,126.02799999999999,202381,2020
OK Anh Đúng (Chapter 2),Orange,39,0.7,0.7170000000000001,4,-5.084,0,0.0382,0.0798,1.07e-06,0.126,0.521,94.992,197151,2020
Về Với Em Đi,Tien Tien,22,0.8420000000000001,0.457,9,-6.407,0,0.0694,0.327,9.96e-05,0.0976,0.5479999999999999,114.023,225668,2017
Ve Voi Em Di - Remix,Tien Tien,17,0.7859999999999999,0.752,9,-3.3339999999999996,0,0.0754,0.127,3.4e-05,0.10300000000000001,0.611,128.082,170625,2017
Về Với Em Đi - DuckV Remix,Tien Tien,12,0.747,0.731,9,-6.544,0,0.0637,0.242,0.0309,0.297,0.519,126.085,189583,2017
Nhà Bao Việc (feat. R.Tee),RAP VIỆT,43,0.708,0.754,6,-3.905,1,0.382,0.0671,0.0,0.42200000000000004,0.6779999999999999,200.158,202452,2020
Lời Đường Mật,Lyly,55,0.735,0.8240000000000001,2,-3.483,0,0.054000000000000006,0.706,0.0,0.13,0.669,95.97200000000001,222250,2020
Bởi Vì Là Khi Yêu,Lyly,42,0.7509999999999999,0.579,5,-5.6739999999999995,1,0.0367,0.311,0.0,0.233,0.34600000000000003,116.0,252414,2020
OK Anh Đúng,Orange,35,0.716,0.706,0,-3.938,1,0.0304,0.15,1.31e-06,0.0793,0.19899999999999998,95.039,228632,2020
Ý Em Sao,Kay Trần,39,0.774,0.802,0,-5.789,0,0.0415,0.45299999999999996,0.0,0.17,0.7879999999999999,100.001,141000,2019
